date,canal,motif,agent,duree_secondes,statut,satisfaction
2024-01-31,Chat,Information,Agent E,529,Non résolu,1
2024-02-01,Chat,Facturation,Agent A,544,Résolu,5
2024-02-01,Téléphone,Résiliation,Agent A,236,Résolu,3
2024-02-01,Chat,Nouveau contrat,Agent A,316,Non résolu,1
2024-02-01,Téléphone,Résiliation,Agent A,892,Résolu,4
2024-02-02,Téléphone,Réclamation,Agent A,583,Résolu,4
2024-02-02,Réseaux sociaux,Nouveau contrat,Agent E,526,Résolu,4
2024-02-02,Chat,Nouveau contrat,Agent C,194,Non résolu,1
2024-02-02,Téléphone,Information,Agent D,179,Non résolu,1
2024-02-03,Téléphone,Réclamation,Agent D,801,Résolu,5
2024-02-03,Téléphone,Réclamation,Agent D,596,Résolu,5
2024-02-04,Téléphone,Facturation,Agent D,780,Résolu,5
2024-02-04,Chat,Résiliation,Agent E,476,Résolu,5
2024-02-05,Email,Information,Agent A,806,Escaladé,2
2024-02-05,Chat,Résiliation,Agent A,531,Non résolu,1
2024-02-05,Réseaux sociaux,Nouveau contrat,Agent A,304,Résolu,5
2024-02-06,Téléphone,Information,Agent A,530,Résolu,5
2024-02-06,Téléphone,Résiliation,Agent B,728,Résolu,4
2024-02-06,Email,Facturation,Agent B,498,Non résolu,1
2024-02-07,Téléphone,Résiliation,Agent A,756,Résolu,4
2024-02-07,Chat,Assistance technique,Agent D,505,Résolu,4
2024-02-08,Téléphone,Réclamation,Agent E,852,Résolu,4
2024-02-08,Chat,Facturation,Agent C,497,Escaladé,4
2024-02-08,Email,Réclamation,Agent A,1485,Non résolu,1
2024-02-09,Chat,Facturation,Agent E,83,Escaladé,2
2024-02-09,Chat,Nouveau contrat,Agent B,391,Résolu,5
2024-02-09,Chat,Information,Agent B,201,Escaladé,3
2024-02-10,Email,Facturation,Agent D,1601,Résolu,5
2024-02-10,Réseaux sociaux,Nouveau contrat,Agent B,271,Non résolu,2
2024-02-10,Téléphone,Réclamation,Agent D,570,Résolu,4
2024-02-10,Chat,Information,Agent D,584,Escaladé,4
2024-02-10,Téléphone,Résiliation,Agent D,208,Escaladé,4
2024-02-10,Téléphone,Information,Agent A,821,Résolu,5
2024-02-11,Téléphone,Information,Agent E,418,Résolu,4
2024-02-11,Téléphone,Facturation,Agent C,791,Non résolu,2
2024-02-11,Email,Assistance technique,Agent A,1103,Résolu,3
2024-02-11,Email,Facturation,Agent A,1247,Escaladé,2
2024-02-12,Chat,Réclamation,Agent E,115,Résolu,4
2024-02-12,Téléphone,Réclamation,Agent D,65,Résolu,5
2024-02-12,Téléphone,Réclamation,Agent B,459,Résolu,4
2024-02-12,Téléphone,Information,Agent A,328,Résolu,3
2024-02-13,Chat,Facturation,Agent E,161,Escaladé,3
2024-02-13,Téléphone,Facturation,Agent C,629,Non résolu,1
2024-02-13,Chat,Réclamation,Agent B,433,Escaladé,2
2024-02-13,Téléphone,Facturation,Agent B,211,Non résolu,3
2024-02-13,Réseaux sociaux,Facturation,Agent C,293,Résolu,3
2024-02-13,Téléphone,Assistance technique,Agent D,644,Non résolu,1
2024-02-13,Téléphone,Assistance technique,Agent C,467,Non résolu,2
2024-02-14,Email,Résiliation,Agent C,1426,Escaladé,3
2024-02-14,Téléphone,Facturation,Agent B,815,Résolu,5
2024-02-14,Réseaux sociaux,Facturation,Agent D,176,Escaladé,2
2024-02-14,Téléphone,Assistance technique,Agent D,876,Résolu,4
2024-02-14,Téléphone,Information,Agent E,783,Non résolu,1
2024-02-14,Réseaux sociaux,Nouveau contrat,Agent B,643,Résolu,5
2024-02-15,Chat,Assistance technique,Agent E,68,Escaladé,4
2024-02-15,Réseaux sociaux,Réclamation,Agent D,212,Résolu,5
2024-02-15,Téléphone,Nouveau contrat,Agent A,406,Escaladé,4
2024-02-15,Téléphone,Information,Agent A,612,Escaladé,3
2024-02-15,Téléphone,Assistance technique,Agent B,472,Résolu,4
2024-02-16,Réseaux sociaux,Réclamation,Agent D,340,Non résolu,2
2024-02-16,Téléphone,Information,Agent C,530,Résolu,5
2024-02-16,Email,Résiliation,Agent E,1591,Résolu,4
2024-02-17,Téléphone,Nouveau contrat,Agent E,712,Résolu,3
2024-02-17,Chat,Nouveau contrat,Agent C,577,Non résolu,1
2024-02-17,Téléphone,Information,Agent C,242,Résolu,4
2024-02-17,Chat,Réclamation,Agent B,362,Escaladé,3
2024-02-17,Email,Information,Agent D,935,Résolu,5
2024-02-17,Téléphone,Réclamation,Agent B,713,Non résolu,1
2024-02-18,Téléphone,Assistance technique,Agent D,314,Résolu,3
2024-02-18,Chat,Assistance technique,Agent D,349,Résolu,5
2024-02-18,Téléphone,Information,Agent E,423,Non résolu,1
2024-02-19,Chat,Assistance technique,Agent B,288,Escaladé,4
2024-02-19,Téléphone,Réclamation,Agent E,217,Non résolu,1
2024-02-19,Téléphone,Résiliation,Agent E,834,Résolu,5
2024-02-19,Email,Assistance technique,Agent C,442,Non résolu,2
2024-02-19,Chat,Résiliation,Agent B,560,Résolu,4
2024-02-20,Réseaux sociaux,Assistance technique,Agent B,203,Résolu,3
2024-02-20,Téléphone,Réclamation,Agent E,764,Résolu,5
2024-02-20,Chat,Nouveau contrat,Agent A,191,Résolu,4
2024-02-20,Email,Réclamation,Agent B,374,Résolu,4
2024-02-20,Téléphone,Nouveau contrat,Agent B,285,Résolu,3
2024-02-20,Email,Facturation,Agent B,1329,Résolu,5
2024-02-20,Téléphone,Résiliation,Agent C,185,Non résolu,2
2024-02-20,Téléphone,Nouveau contrat,Agent D,123,Résolu,4
2024-02-21,Téléphone,Assistance technique,Agent E,417,Résolu,5
2024-02-21,Téléphone,Résiliation,Agent B,809,Non résolu,3
2024-02-21,Email,Réclamation,Agent B,450,Résolu,5
2024-02-22,Chat,Réclamation,Agent A,194,Résolu,4
2024-02-22,Téléphone,Résiliation,Agent C,852,Résolu,5
2024-02-22,Téléphone,Réclamation,Agent C,106,Résolu,4
2024-02-22,Email,Facturation,Agent E,1590,Résolu,3
2024-02-24,Email,Résiliation,Agent E,613,Escaladé,2
2024-02-24,Téléphone,Réclamation,Agent C,776,Résolu,4
2024-02-24,Téléphone,Information,Agent A,605,Escaladé,3
2024-02-24,Téléphone,Résiliation,Agent D,586,Résolu,4
2024-02-24,Email,Assistance technique,Agent A,1749,Résolu,5
2024-02-25,Téléphone,Assistance technique,Agent E,492,Résolu,3
2024-02-25,Chat,Nouveau contrat,Agent A,365,Escaladé,4
2024-02-25,Chat,Réclamation,Agent B,573,Résolu,4
2024-02-25,Téléphone,Résiliation,Agent C,343,Escaladé,2
2024-02-25,Téléphone,Information,Agent D,449,Résolu,4
2024-02-25,Téléphone,Nouveau contrat,Agent D,197,Résolu,3
2024-02-26,Téléphone,Assistance technique,Agent D,454,Résolu,4
2024-02-26,Téléphone,Information,Agent A,192,Résolu,3
2024-02-27,Téléphone,Information,Agent B,438,Résolu,5
2024-02-27,Chat,Réclamation,Agent B,408,Escaladé,4
2024-02-27,Téléphone,Nouveau contrat,Agent D,170,Résolu,3
2024-02-27,Email,Résiliation,Agent A,1364,Résolu,3
2024-02-27,Téléphone,Nouveau contrat,Agent D,344,Escaladé,4
2024-02-28,Email,Assistance technique,Agent C,352,Résolu,5
2024-02-28,Chat,Résiliation,Agent D,59,Escaladé,4
2024-02-29,Téléphone,Facturation,Agent C,178,Non résolu,1
2024-02-29,Téléphone,Nouveau contrat,Agent A,545,Résolu,5
2024-02-29,Téléphone,Résiliation,Agent E,326,Résolu,4
2024-02-29,Téléphone,Nouveau contrat,Agent E,516,Non résolu,1
2024-03-01,Chat,Assistance technique,Agent D,328,Non résolu,2
2024-03-01,Téléphone,Information,Agent E,695,Résolu,3
2024-03-01,Réseaux sociaux,Information,Agent A,542,Résolu,3
2024-03-01,Téléphone,Résiliation,Agent D,96,Résolu,3
2024-03-02,Réseaux sociaux,Nouveau contrat,Agent B,354,Résolu,4
2024-03-02,Téléphone,Réclamation,Agent B,842,Résolu,5
2024-03-03,Téléphone,Nouveau contrat,Agent E,669,Non résolu,1
2024-03-03,Téléphone,Nouveau contrat,Agent E,173,Résolu,5
2024-03-03,Email,Résiliation,Agent C,1098,Non résolu,2
2024-03-04,Chat,Assistance technique,Agent C,486,Résolu,3
2024-03-04,Téléphone,Réclamation,Agent A,301,Résolu,5
2024-03-05,Chat,Réclamation,Agent A,517,Escaladé,3
2024-03-05,Chat,Assistance technique,Agent B,359,Résolu,5
2024-03-05,Chat,Réclamation,Agent C,553,Résolu,5
2024-03-06,Email,Réclamation,Agent E,564,Résolu,4
2024-03-06,Email,Facturation,Agent C,408,Non résolu,1
2024-03-06,Téléphone,Réclamation,Agent A,173,Résolu,5
2024-03-07,Email,Réclamation,Agent E,795,Résolu,4
2024-03-07,Téléphone,Nouveau contrat,Agent C,720,Escaladé,2
2024-03-07,Téléphone,Nouveau contrat,Agent A,511,Non résolu,1
2024-03-07,Téléphone,Résiliation,Agent A,786,Résolu,5
2024-03-07,Chat,Nouveau contrat,Agent E,539,Escaladé,3
2024-03-07,Téléphone,Nouveau contrat,Agent A,598,Résolu,4
2024-03-08,Réseaux sociaux,Nouveau contrat,Agent D,365,Résolu,5
2024-03-08,Téléphone,Assistance technique,Agent E,576,Non résolu,2
2024-03-08,Réseaux sociaux,Nouveau contrat,Agent C,491,Résolu,3
2024-03-09,Téléphone,Facturation,Agent E,348,Résolu,5
2024-03-09,Téléphone,Résiliation,Agent B,140,Résolu,5
2024-03-09,Chat,Information,Agent B,38,Résolu,5
2024-03-09,Téléphone,Nouveau contrat,Agent C,228,Escaladé,4
2024-03-09,Téléphone,Information,Agent E,878,Non résolu,1
2024-03-10,Téléphone,Nouveau contrat,Agent A,104,Résolu,5
2024-03-10,Téléphone,Information,Agent D,609,Non résolu,3
2024-03-10,Téléphone,Information,Agent D,867,Non résolu,2
2024-03-11,Email,Résiliation,Agent C,1318,Résolu,5
2024-03-11,Téléphone,Réclamation,Agent B,547,Résolu,4
2024-03-11,Téléphone,Nouveau contrat,Agent C,103,Résolu,5
2024-03-12,Email,Assistance technique,Agent C,1583,Escaladé,2
2024-03-12,Téléphone,Réclamation,Agent E,594,Non résolu,2
2024-03-13,Téléphone,Résiliation,Agent D,593,Escaladé,3
2024-03-13,Téléphone,Information,Agent D,572,Résolu,3
2024-03-14,Chat,Nouveau contrat,Agent B,138,Escaladé,4
2024-03-15,Téléphone,Résiliation,Agent D,202,Escaladé,3
2024-03-15,Téléphone,Résiliation,Agent A,512,Résolu,5
2024-03-15,Téléphone,Réclamation,Agent E,487,Résolu,4
2024-03-15,Téléphone,Information,Agent C,81,Non résolu,2
2024-03-15,Chat,Nouveau contrat,Agent E,338,Résolu,5
2024-03-16,Téléphone,Facturation,Agent C,875,Résolu,5
2024-03-16,Téléphone,Assistance technique,Agent D,846,Escaladé,2
2024-03-16,Téléphone,Résiliation,Agent E,621,Escaladé,3
2024-03-16,Téléphone,Assistance technique,Agent E,83,Non résolu,1
2024-03-16,Téléphone,Facturation,Agent B,244,Non résolu,2
2024-03-16,Téléphone,Facturation,Agent A,216,Résolu,5
2024-03-17,Téléphone,Assistance technique,Agent E,357,Escaladé,2
2024-03-17,Chat,Assistance technique,Agent D,69,Non résolu,3
2024-03-17,Chat,Nouveau contrat,Agent D,74,Résolu,3
2024-03-17,Téléphone,Résiliation,Agent B,180,Non résolu,1
2024-03-18,Téléphone,Assistance technique,Agent C,643,Résolu,5
2024-03-18,Chat,Nouveau contrat,Agent E,532,Résolu,4
2024-03-18,Chat,Information,Agent D,182,Résolu,3
2024-03-19,Téléphone,Information,Agent C,135,Résolu,3
2024-03-19,Téléphone,Information,Agent D,830,Non résolu,2
2024-03-19,Téléphone,Nouveau contrat,Agent E,395,Résolu,3
2024-03-20,Chat,Assistance technique,Agent A,599,Résolu,4
2024-03-20,Téléphone,Facturation,Agent E,199,Non résolu,1
2024-03-20,Téléphone,Résiliation,Agent E,322,Résolu,5
2024-03-21,Téléphone,Information,Agent C,641,Escaladé,3
2024-03-22,Chat,Résiliation,Agent C,374,Résolu,3
2024-03-22,Chat,Nouveau contrat,Agent D,283,Résolu,5
2024-03-22,Téléphone,Réclamation,Agent D,375,Résolu,4
2024-03-22,Téléphone,Réclamation,Agent C,714,Escaladé,4
2024-03-22,Téléphone,Réclamation,Agent D,754,Non résolu,1
2024-03-22,Chat,Facturation,Agent E,289,Résolu,4
2024-03-23,Chat,Réclamation,Agent A,530,Résolu,3
2024-03-23,Téléphone,Information,Agent D,470,Résolu,5
2024-03-23,Réseaux sociaux,Information,Agent C,183,Résolu,5
2024-03-23,Téléphone,Information,Agent A,208,Non résolu,1
2024-03-23,Chat,Réclamation,Agent A,590,Résolu,5
2024-03-24,Téléphone,Assistance technique,Agent C,759,Escaladé,3
2024-03-24,Chat,Assistance technique,Agent C,168,Résolu,4
2024-03-25,Téléphone,Information,Agent B,215,Escaladé,4
2024-03-27,Téléphone,Information,Agent A,258,Résolu,5
2024-03-27,Chat,Réclamation,Agent B,375,Résolu,5
2024-03-27,Téléphone,Réclamation,Agent D,615,Résolu,5
2024-03-27,Chat,Assistance technique,Agent D,120,Escaladé,2
2024-03-27,Téléphone,Information,Agent A,715,Résolu,4
2024-03-27,Téléphone,Assistance technique,Agent B,716,Escaladé,3
2024-03-27,Chat,Résiliation,Agent B,191,Escaladé,2
2024-03-27,Téléphone,Assistance technique,Agent C,473,Résolu,3
2024-03-28,Téléphone,Nouveau contrat,Agent C,157,Résolu,5
2024-03-28,Chat,Facturation,Agent D,345,Non résolu,2
2024-03-28,Téléphone,Assistance technique,Agent E,536,Résolu,5
2024-03-28,Téléphone,Résiliation,Agent E,580,Résolu,3
2024-03-29,Chat,Assistance technique,Agent A,511,Résolu,4
2024-03-29,Chat,Information,Agent A,535,Résolu,4
2024-03-29,Chat,Nouveau contrat,Agent C,352,Résolu,5
2024-03-29,Téléphone,Assistance technique,Agent C,212,Résolu,3
2024-03-29,Téléphone,Réclamation,Agent C,774,Non résolu,1
2024-03-29,Chat,Facturation,Agent D,315,Résolu,5
2024-03-29,Téléphone,Information,Agent E,157,Non résolu,2
2024-03-30,Chat,Résiliation,Agent D,30,Résolu,4
2024-03-30,Téléphone,Réclamation,Agent B,744,Résolu,5
2024-03-30,Téléphone,Assistance technique,Agent A,466,Non résolu,2
2024-03-30,Chat,Nouveau contrat,Agent E,382,Résolu,5
2024-03-30,Téléphone,Nouveau contrat,Agent D,623,Résolu,4
2024-03-31,Email,Facturation,Agent B,980,Escaladé,3
2024-03-31,Téléphone,Facturation,Agent A,274,Résolu,5
2024-03-31,Chat,Assistance technique,Agent B,359,Résolu,4
2024-03-31,Réseaux sociaux,Information,Agent E,156,Résolu,3
2024-04-01,Chat,Réclamation,Agent D,396,Escaladé,3
2024-04-02,Chat,Résiliation,Agent A,332,Résolu,4
2024-04-02,Téléphone,Assistance technique,Agent B,843,Résolu,4
2024-04-02,Email,Assistance technique,Agent C,303,Non résolu,1
2024-04-03,Téléphone,Résiliation,Agent B,506,Escaladé,2
2024-04-03,Email,Facturation,Agent A,1742,Résolu,4
2024-04-05,Réseaux sociaux,Résiliation,Agent A,701,Résolu,5
2024-04-05,Téléphone,Résiliation,Agent C,835,Résolu,3
2024-04-05,Téléphone,Assistance technique,Agent D,746,Résolu,5
2024-04-05,Téléphone,Facturation,Agent E,749,Résolu,3
2024-04-06,Email,Nouveau contrat,Agent E,1304,Résolu,3
2024-04-06,Email,Réclamation,Agent E,1376,Escaladé,4
2024-04-07,Réseaux sociaux,Réclamation,Agent B,402,Non résolu,2
2024-04-07,Réseaux sociaux,Facturation,Agent D,329,Non résolu,1
2024-04-07,Téléphone,Facturation,Agent B,412,Résolu,4
2024-04-07,Chat,Facturation,Agent D,156,Résolu,5
2024-04-07,Téléphone,Assistance technique,Agent B,331,Escaladé,2
2024-04-08,Téléphone,Facturation,Agent A,851,Résolu,4
2024-04-08,Téléphone,Réclamation,Agent A,839,Escaladé,4
2024-04-09,Chat,Information,Agent D,453,Résolu,3
2024-04-09,Téléphone,Résiliation,Agent D,876,Non résolu,1
2024-04-10,Téléphone,Nouveau contrat,Agent E,571,Non résolu,2
2024-04-10,Chat,Réclamation,Agent B,449,Résolu,3
2024-04-10,Email,Assistance technique,Agent C,1698,Résolu,3
2024-04-11,Chat,Nouveau contrat,Agent C,270,Résolu,3
2024-04-11,Chat,Nouveau contrat,Agent E,52,Non résolu,1
2024-04-11,Chat,Information,Agent E,506,Résolu,5
2024-04-11,Téléphone,Assistance technique,Agent A,499,Résolu,5
2024-04-12,Email,Assistance technique,Agent D,1434,Résolu,5
2024-04-12,Email,Résiliation,Agent C,421,Résolu,5
2024-04-12,Téléphone,Résiliation,Agent A,824,Résolu,5
2024-04-12,Chat,Résiliation,Agent E,191,Résolu,4
2024-04-13,Chat,Assistance technique,Agent B,562,Résolu,4
2024-04-13,Téléphone,Réclamation,Agent A,228,Résolu,4
2024-04-13,Email,Réclamation,Agent C,518,Résolu,3
2024-04-13,Email,Facturation,Agent B,1199,Non résolu,3
2024-04-14,Téléphone,Réclamation,Agent D,813,Non résolu,2
2024-04-14,Téléphone,Réclamation,Agent D,632,Résolu,5
2024-04-14,Téléphone,Résiliation,Agent B,724,Résolu,4
2024-04-15,Téléphone,Réclamation,Agent B,892,Résolu,5
2024-04-15,Email,Réclamation,Agent C,1522,Résolu,4
2024-04-15,Chat,Information,Agent A,133,Résolu,5
2024-04-15,Chat,Information,Agent D,103,Escaladé,3
2024-04-15,Chat,Facturation,Agent C,181,Non résolu,1
2024-04-15,Réseaux sociaux,Assistance technique,Agent C,638,Escaladé,3
2024-04-16,Téléphone,Assistance technique,Agent A,97,Escaladé,2
2024-04-17,Téléphone,Réclamation,Agent E,536,Escaladé,3
2024-04-17,Chat,Assistance technique,Agent B,294,Résolu,4
2024-04-18,Téléphone,Résiliation,Agent C,670,Résolu,5
2024-04-19,Téléphone,Information,Agent A,878,Résolu,5
2024-04-19,Email,Information,Agent B,851,Escaladé,3
2024-04-19,Email,Réclamation,Agent B,547,Résolu,4
2024-04-20,Téléphone,Nouveau contrat,Agent D,480,Résolu,5
2024-04-20,Email,Nouveau contrat,Agent A,985,Résolu,4
2024-04-21,Téléphone,Réclamation,Agent A,793,Résolu,5
2024-04-21,Téléphone,Résiliation,Agent C,681,Résolu,5
2024-04-21,Email,Réclamation,Agent A,1653,Escaladé,2
2024-04-22,Téléphone,Résiliation,Agent D,458,Résolu,4
2024-04-22,Téléphone,Réclamation,Agent A,368,Résolu,5
2024-04-23,Téléphone,Assistance technique,Agent C,437,Escaladé,3
2024-04-23,Chat,Information,Agent D,339,Non résolu,2
2024-04-23,Chat,Facturation,Agent A,243,Non résolu,2
2024-04-23,Téléphone,Résiliation,Agent A,766,Escaladé,4
2024-04-24,Email,Résiliation,Agent E,1528,Escaladé,3
2024-04-25,Téléphone,Réclamation,Agent A,808,Résolu,4
2024-04-26,Téléphone,Information,Agent B,345,Résolu,5
2024-04-26,Téléphone,Nouveau contrat,Agent D,157,Résolu,4
2024-04-26,Chat,Réclamation,Agent A,421,Escaladé,2
2024-04-26,Téléphone,Assistance technique,Agent B,495,Non résolu,2
2024-04-27,Chat,Facturation,Agent A,90,Escaladé,2
2024-04-27,Chat,Résiliation,Agent B,286,Escaladé,3
2024-04-27,Téléphone,Information,Agent C,251,Résolu,3
2024-04-28,Téléphone,Assistance technique,Agent B,477,Résolu,4
2024-04-28,Téléphone,Résiliation,Agent D,299,Résolu,5
2024-04-28,Email,Information,Agent B,1646,Résolu,4
2024-04-28,Email,Réclamation,Agent D,1062,Escaladé,3
2024-04-28,Chat,Assistance technique,Agent B,284,Résolu,5
2024-04-29,Téléphone,Nouveau contrat,Agent C,162,Escaladé,3
2024-04-29,Téléphone,Facturation,Agent A,548,Résolu,3
2024-04-30,Chat,Résiliation,Agent B,474,Escaladé,4
2024-04-30,Email,Facturation,Agent C,1620,Résolu,4
2024-04-30,Chat,Information,Agent A,436,Résolu,3
2024-04-30,Réseaux sociaux,Assistance technique,Agent B,339,Résolu,5
2024-05-01,Réseaux sociaux,Réclamation,Agent C,579,Escaladé,2
2024-05-01,Téléphone,Information,Agent D,512,Résolu,3
2024-05-01,Téléphone,Résiliation,Agent B,239,Résolu,3
2024-05-01,Email,Nouveau contrat,Agent A,1104,Non résolu,3
2024-05-02,Téléphone,Nouveau contrat,Agent B,644,Résolu,5
2024-05-02,Chat,Résiliation,Agent D,397,Résolu,4
2024-05-02,Téléphone,Facturation,Agent E,254,Non résolu,2
2024-05-03,Chat,Information,Agent D,47,Résolu,3
2024-05-03,Téléphone,Assistance technique,Agent D,135,Escaladé,3
2024-05-03,Téléphone,Information,Agent C,480,Non résolu,1
2024-05-04,Téléphone,Information,Agent A,848,Non résolu,3
2024-05-04,Chat,Réclamation,Agent B,466,Résolu,5
2024-05-04,Téléphone,Nouveau contrat,Agent C,649,Escaladé,2
2024-05-05,Téléphone,Assistance technique,Agent D,780,Non résolu,1
2024-05-05,Email,Facturation,Agent C,799,Non résolu,2
2024-05-05,Chat,Nouveau contrat,Agent D,252,Résolu,5
2024-05-05,Chat,Nouveau contrat,Agent A,558,Résolu,5
2024-05-06,Téléphone,Assistance technique,Agent C,802,Résolu,5
2024-05-06,Chat,Facturation,Agent C,187,Résolu,5
2024-05-06,Chat,Nouveau contrat,Agent B,204,Résolu,3
2024-05-06,Téléphone,Réclamation,Agent E,857,Résolu,4
2024-05-07,Chat,Résiliation,Agent B,75,Escaladé,3
2024-05-07,Téléphone,Nouveau contrat,Agent B,94,Escaladé,2
2024-05-08,Chat,Réclamation,Agent B,447,Non résolu,1
2024-05-09,Téléphone,Information,Agent B,859,Résolu,3
2024-05-09,Téléphone,Assistance technique,Agent E,829,Non résolu,3
2024-05-09,Réseaux sociaux,Réclamation,Agent C,527,Escaladé,3
2024-05-09,Chat,Résiliation,Agent C,154,Non résolu,2
2024-05-10,Chat,Assistance technique,Agent A,432,Non résolu,1
